Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2011,6,2,Thursday 17 March,,West Coast Fever,Australia,49-70,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Challenge Stadium, Perth"
2011,6,2,Saturday 19 March,,West Coast Fever,Australia,50-47,Southern Steel,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2011,6,2,Sunday 20 March,,New South Wales Swifts,Australia,53-57,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"State Sports Centre, Sydney"
2011,6,2,Sunday 20 March,,Central Pulse,New Zealand,46-43,Canterbury Tactix,New Zealand,Central Pulse,New Zealand,"Arena Manawatu, Palmerston North"
2011,6,2,Monday 21 March,,Waikato Bay of Plenty Magic,New Zealand,53-41,Melbourne Vixens,Australia,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre, Hamilton"
2011,6,2,Monday 21 March,,Adelaide Thunderbirds,Australia,57-55,Northern Mystics,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2011,7,2,Saturday 26 March,,Northern Mystics,New Zealand,52-61,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Trusts Stadium, Auckland"
2011,7,2,Sunday 27 March,,Melbourne Vixens,Australia,65-50,Canterbury Tactix,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2011,7,2,Sunday 27 March,,Central Pulse,New Zealand,43-48,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"TSB Bank Arena, Wellington"
2011,7,2,Monday 28 March,,Southern Steel,New Zealand,52-48,Adelaide Thunderbirds,Australia,Southern Steel,New Zealand,Invercargill ILT Velodrome
2011,7,2,Monday 28 March,,West Coast Fever,Australia,41-42,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Challenge Stadium, Perth"
2011,8,2,Thursday 31 March,,Canterbury Tactix,New Zealand,49-44,Southern Steel,New Zealand,Canterbury Tactix,New Zealand,"CBS Canterbury Arena, Christchurch"
2011,8,2,Thursday 31 March,,Melbourne Vixens,Australia,42-52,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"State Netball and Hockey Centre,Melbourne"
2011,8,2,Saturday 2 April,,Northern Mystics,New Zealand,61-48,Central Pulse,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2011,8,2,Sunday 3 April,,Melbourne Vixens,Australia,42-33,Southern Steel,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2011,8,2,Sunday 3 April,,Canterbury Tactix,New Zealand,56-59,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"CBS Canterbury Arena, Christchurch"
2011,8,2,Monday 4 April,,Central Pulse,New Zealand,63-61,West Coast Fever,Australia,Central Pulse,New Zealand,"Te Rauparaha Arena, Porirua"
2011,8,2,Monday 4 April,,Queensland Firebirds,Australia,53-49,Waikato Bay of Plenty Magic,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2011,9,3,Saturday 9 April,,Southern Steel,New Zealand,49-40,Canterbury Tactix,New Zealand,Southern Steel,New Zealand,"Edgar Centre, Dunedin"
2011,9,3,Sunday 10 April,,Melbourne Vixens,Australia,55-53,Adelaide Thunderbirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2011,9,3,Sunday 10 April,,Central Pulse,New Zealand,44-61,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Te Rauparaha Arena, Porirua"
2011,9,3,Monday 11 April,,Waikato Bay of Plenty Magic,New Zealand,46-53,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Queen Elizabeth Youth Centre, Tauranga"
2011,9,3,Monday 11 April,,West Coast Fever,Australia,54-56,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Challenge Stadium, Perth"
2011,10,3,Thursday 14 April,,Waikato Bay of Plenty Magic,New Zealand,53-49,Canterbury Tactix,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2011,10,3,Thursday 14 April,,Queensland Firebirds,Australia,57-36,Melbourne Vixens,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2011,10,3,Saturday 16 April,,Adelaide Thunderbirds,Australia,57-53,New South Wales Swifts,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2011,10,3,Sunday 17 April,,West Coast Fever,Australia,38-54,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Challenge Stadium, Perth"
